"Name","Value","DisplayInUI","IsReadOnly","RequiresPhysicalPresence"
"Absolute Persistence Module Current State","*Inactive,Active","1","1","0"
"Adaptive Battery Optimizer","Disable,*Enable","0","1","0"
"Adaptive Battery Optimizer Status","Not activated,*Activated","0","1","0"
"Allow OPAL Hard Drive SID Authentication","*Disable,Enable","1","0","1"
"Allow User to Modify Power-on Password","No,Change Only,*Change or Delete","1","0","0"
"Apply Custom Defaults and Exit","*No,Yes","1","0","0"
"Apply Factory Defaults and Exit","*No,Yes","1","0","0"
"Are spaces allowed in Administrator and User passwords?","*No,Yes","1","0","0"
"Asset Tracking Number","","1","0","0"
"At least one lower case character is required in Administrator and User passwords","*No,Yes","1","0","0"
"At least one number is required in Administrator and User passwords","*No,Yes","1","0","0"
"At least one symbol is required in Administrator and User passwords","*No,Yes","1","0","0"
"At least one upper case character is required in Administrator and User passwords","*No,Yes","1","0","0"
"Audio Alerts During Boot","Disable,*Enable","1","0","0"
"Audio Controller","Realtek ALC3247","1","1","0"
"Audio Device","Disable,*Enable","1","0","0"
"Automatic BIOS Update Setting","*Disable,Let user decide whether to install updates,Install all updates automatically,Install only important updates automatically,Download and install normal BIOS updates automatically without prompts,Download and install important BIOS updates automatically without prompts","1","0","0"
"Automatically Check for Updates","Daily,Weekly,*Monthly","1","0","0"
"Backlit keyboard timeout","5 secs.,*15 secs.,30 secs.,1 min..,5 mins.,Never.","1","0","0"
"Batt_LTemp","01 00","0","1","0"
"Battery Health Manager","Maximize Battery Health Management,*Let HP Manage My Battery Health,Minimize Battery Health Management","1","0","0"
"Battery Safety Mode","*Disable,Enable","1","1","0"
"BIOS Administrator visible at Power-on Authentication","Disable,*Enable","1","0","0"
"BIOS Build Version","0002","1","1","0"
"BIOS Power-On Hour","0","1","0","0"
"BIOS Power-On Minute","0","1","0","0"
"BIOS Rollback Policy","*Unrestricted Rollback to older BIOS,Restricted Rollback to older BIOS","1","0","0"
"Bluetooth","Disable,*Enable","1","0","0"
"Boost Converter","Disable,*Enable","1","0","0"
"Boot Sector (MBR/GPT) Recovery Policy","*Local user control,Recover in event of corruption","1","0","0"
"Born On Date","11/14/2022","1","1","0"
"Build ID","20WWIOAT601#SAB2#DAB2","1","1","0"
"Camera Controller Firmware Version","0004","1","1","0"
"Clear BIOS Event Log","*Don't Clear,Clear","1","0","0"
