"Name","Value","PossibleValues"
"Absolute Persistence Module Current State","*Inactive,Active","Inactive ~ Active"
"Adaptive Battery Optimizer","Disable,*Enable","Disable ~ Enable"
"Adaptive Battery Optimizer Status","Not activated,*Activated","Not activated ~ Activated"
"Allow OPAL Hard Drive SID Authentication","*Disable,Enable","Disable ~ Enable"
"Allow User to Modify Power-on Password","No,Change Only,*Change or Delete","No ~ Change Only ~ Change or Delete"
"Apply Custom Defaults and Exit","*No,Yes","No ~ Yes"
"Apply Factory Defaults and Exit","*No,Yes","No ~ Yes"
"Are spaces allowed in Administrator and User passwords?","*No,Yes","No ~ Yes"
"At least one lower case character is required in Administrator and User passwords","*No,Yes","No ~ Yes"
"At least one number is required in Administrator and User passwords","*No,Yes","No ~ Yes"
"At least one symbol is required in Administrator and User passwords","*No,Yes","No ~ Yes"
"At least one upper case character is required in Administrator and User passwords","*No,Yes","No ~ Yes"
"Audio Alerts During Boot","Disable,*Enable","Disable ~ Enable"
"Audio Device","Disable,*Enable","Disable ~ Enable"
"Automatic BIOS Update Setting","*Disable,Let user decide whether to install updates,Install all updates automatically,Install only important updates automatically,Download and install normal BIOS updates automatically without prompts,Download and install important BIOS updates automatically without prompts","Disable ~ Let user decide whether to install updates ~ Install all updates automatically ~ Install only important updates automatically ~ Download and install normal BIOS updates automatically without prompts ~ Download and install important BIOS updates automatically without prompts"
"Automatically Check for Updates","Daily,Weekly,*Monthly","Daily ~ Weekly ~ Monthly"
"Backlit keyboard timeout","5 secs.,*15 secs.,30 secs.,1 min..,5 mins.,Never.","5 secs. ~ 15 secs. ~ 30 secs. ~ 1 min.. ~ 5 mins. ~ Never."
"Battery Health Manager","Maximize Battery Health Management,*Let HP Manage My Battery Health,Minimize Battery Health Management","Maximize Battery Health Management ~ Let HP Manage My Battery Health ~ Minimize Battery Health Management"
"Battery Safety Mode","*Disable,Enable","Disable ~ Enable"
"BIOS Administrator visible at Power-on Authentication","Disable,*Enable","Disable ~ Enable"
"BIOS Rollback Policy","*Unrestricted Rollback to older BIOS,Restricted Rollback to older BIOS","Unrestricted Rollback to older BIOS ~ Restricted Rollback to older BIOS"
"Bluetooth","Disable,*Enable","Disable ~ Enable"
"Boost Converter","Disable,*Enable","Disable ~ Enable"
"Boot Sector (MBR/GPT) Recovery Policy","*Local user control,Recover in event of corruption","Local user control ~ Recover in event of corruption"
"Clear BIOS Event Log","*Don't Clear,Clear","Don't Clear ~ Clear"
"Clear Secure Boot keys","*Disable,Enable","Disable ~ Enable"
"Clear TPM","*No,On next boot","No ~ On next boot"
"Custom Keys Image Verification State","*No Custom Keys,Fail,Success","No Custom Keys ~ Fail ~ Success"
"Custom Logo","*Not Present,Present","Not Present ~ Present"
"Disable Battery On Next Boot","*Do not disable,Next shut down","Do not disable ~ Next shut down"
"DMA Protection","*Disable,Enable","Disable ~ Enable"
"DNS Configuration","*Automatic,Manual","Automatic ~ Manual"
"Dynamic Runtime Scanning of Boot Block","*Disable,Enable","Disable ~ Enable"
"E-label","*Not Present,Present","Not Present ~ Present"
"Embedded LAN controller","Disable,*Enable","Disable ~ Enable"
"Enable High Resolution mode when connected to a USB-C DP alt mode dock","*Disable,Enable","Disable ~ Enable"
"Enable MS UEFI CA key","*No,Yes","No ~ Yes"
"Energy Efficient Turbo","Disable,*Enable","Disable ~ Enable"
"Enhanced BIOS Authentication Mode","*Disable,Enable","Disable ~ Enable"
"Enhanced HP Firmware Runtime Intrusion Prevention and Detection","*Disable,Enable","Disable ~ Enable"
"Extended DHCP Timeout","Disable,*Enable","Disable ~ Enable"
"Extended Idle Power States","*Disable,Enable","Disable ~ Enable"
"Fan Always on while on AC Power","Disable,*Enable","Disable ~ Enable"
"Fast Boot","*Disable,Enable","Disable ~ Enable"
"Fast Charge","Disable,*Enable","Disable ~ Enable"
"Force Check on Reboot","*Disable,Enable","Disable ~ Enable"
"Force Default IP Configuration","*Disable,Enable","Disable ~ Enable"
"Force HTTP no-cache","Disable,*Enable","Disable ~ Enable"
"Force to Run Discrete Only Mode","*Disable,Enable","Disable ~ Enable"
"Friday","*Disable,Enable","Disable ~ Enable"
"Graphics","UMA Graphics,*Hybrid Graphics","UMA Graphics ~ Hybrid Graphics"
"Headphone Output","Disable,*Enable","Disable ~ Enable"
"Host Based MAC Address","Disable,*System,Custom","Disable ~ System ~ Custom"
"HP Application Driver","Disable,*Enable","Disable ~ Enable"
"HP will balance your battery health and battery duration (read-only)","Enabled,*Enabled & Activated","Enabled ~ Enabled & Activated"
"Hyperthreading","Disable,*Enable","Disable ~ Enable"
"Import Custom Secure Boot keys","*Do Nothing,On next boot","Do Nothing ~ On next boot"
"Integrated Camera","Disable,*Enable","Disable ~ Enable"
"Intel Dynamic Tuning","Disable,*Enable","Disable ~ Enable"
"Intel Software Guard Extensions (SGX)","*Disable,Enable,Software control","Disable ~ Enable ~ Software control"
"Internal Speakers","Disable,*Enable","Disable ~ Enable"
"IPv4 Configuration","*Automatic,Manual","Automatic ~ Manual"
"IPv6 during UEFI Boot","Disable,*Enable","Disable ~ Enable"
"LAN / WLAN Auto Switching","*Disable,Enable","Disable ~ Enable"
"Launch Hotkeys without Fn Keypress","Disable,Enable,*Auto","Disable ~ Enable ~ Auto"
"Left USB Ports","Disable,*Enable","Disable ~ Enable"
"Lock BIOS Version","*Disable,Enable","Disable ~ Enable"
"Lock Wireless Button","Disable,*Enable","Disable ~ Enable"
"M.2 SSD 1","Disable,*Enable","Disable ~ Enable"
"M.2 SSD 2","Disable,*Enable","Disable ~ Enable"
"Manufacturing Programming Mode","Unlock,*Lock","Unlock ~ Lock"
"Microphone","Disable,*Enable","Disable ~ Enable"
"Microsoft Option ROM UEFI CA 2023","*Disable,Enable","Disable ~ Enable"
"Microsoft UEFI CA 2023","*Disable,Enable","Disable ~ Enable"
"Modern Standby","Disable,*Enable","Disable ~ Enable"
"Monday","*Disable,Enable","Disable ~ Enable"
"Native OS Firmware Update Service","Disable,*Enable","Disable ~ Enable"
"Network (PXE) Boot","*Disable,Enable","Disable ~ Enable"
"NFC","Disable,*Enable","Disable ~ Enable"
"NumLock on at boot","Disable,*Enable","Disable ~ Enable"
"OS Recovery","Disable,*Enable","Disable ~ Enable"
"Permanent Disable Absolute Persistence Module Set Once","*No,Yes","No ~ Yes"
"Physical Presence Interface","*Disable,Enable","Disable ~ Enable"
"Power button delay to avoid accidental activation for system sleep or power down","Disable,*Enable","Disable ~ Enable"
"Power Control","Disable,*Enable","Disable ~ Enable"
"Power On When AC Detected","*Disable,Enable","Disable ~ Enable"
"Power On When Lid is Opened","Disable,*Enable","Disable ~ Enable"
"Pre-boot HBMA Support","Disable,*Enable","Disable ~ Enable"
"Preboot Wi-Fi Master Auto Connect","Disable,*Enable","Disable ~ Enable"
"Prompt before Boot Failure Recovery","Disable,*Enable","Disable ~ Enable"
"Prompt for Admin authentication on Capsule Update","*Disable,Enable","Disable ~ Enable"
"Prompt for Admin authentication on F11 (System Recovery)","*Disable,Enable","Disable ~ Enable"
"Prompt for Admin authentication on F12 (Network Boot)","*Disable,Enable","Disable ~ Enable"
"Prompt for Admin authentication on F9 (Boot Menu)","*Disable,Enable","Disable ~ Enable"
"Prompt on Battery Errors","Disable,*Enable","Disable ~ Enable"
"Prompt on Fixed Storage Change","*Disable,Enable","Disable ~ Enable"
"Prompt on Memory Size Change","Disable,*Enable","Disable ~ Enable"
"Prompt on Network Controller Configuration Change","*Disable,Enable","Disable ~ Enable"
"Ready BIOS for Device Guard Use","*Do Nothing,Configure on Next Boot,Clear Configuration on Next Boot","Do Nothing ~ Configure on Next Boot ~ Clear Configuration on Next Boot"
"Ready to disable MS UEFI CA Key","Not Ready,*Ready","Not Ready ~ Ready"
"Recover OS after Boot Failure","Disable,*Enable","Disable ~ Enable"
"Recover OS from Network","Disable,*Enable","Disable ~ Enable"
"Remote HP PC Hardware Diagnostics Execute On Next Boot","*Disable,Enable","Disable ~ Enable"
"Remote HP PC Hardware Diagnostics Scheduled Execution Enabled","*Disable,Enable","Disable ~ Enable"
"Remote HP PC Hardware Diagnostics Scheduled Execution Frequency","Daily,*Weekly,Monthly","Daily ~ Weekly ~ Monthly"
"Remote HP PC Hardware Diagnostics Use Custom Download Url","*Disable,Enable","Disable ~ Enable"
"Require BIOS PW to change TBT SL","Disable,*Enable","Disable ~ Enable"
"Reset Secure Boot keys to factory defaults","*Disable,Enable","Disable ~ Enable"
"Restrict USB Devices","*Allow all USB Devices,Allow only keyboard and mouse,Allow all but storage devices and hubs","Allow all USB Devices ~ Allow only keyboard and mouse ~ Allow all but storage devices and hubs"
"Reuse Embedded LAN Address","*Disable,Enable","Disable ~ Enable"
"Right USB Port 1","Disable,*Enable","Disable ~ Enable"
"Right USB Port 2","Disable,*Enable","Disable ~ Enable"
"Right USB Ports","Disable,*Enable","Disable ~ Enable"
"Runtime Power Management","Disable,*Enable","Disable ~ Enable"
"Saturday","*Disable,Enable","Disable ~ Enable"
"Save Custom Defaults","*Do not Save,Save","Do not Save ~ Save"
"Save/Restore GPT of System Hard Drive","*Disabled,Enabled","Disabled ~ Enabled"
"Secure Boot","*Disable,Enable","Disable ~ Enable"
"Select Keyboard Layout","*English,Deutsch,Espanol,Italiano,Francais,Japanese,Portugues,Dansk,Svenska,Nederlands,Norsk,Suomi,Simplified Chinese,Traditional Chinese,Russian","English ~ Deutsch ~ Espanol ~ Italiano ~ Francais ~ Japanese ~ Portugues ~ Dansk ~ Svenska ~ Nederlands ~ Norsk ~ Suomi ~ Simplified Chinese ~ Traditional Chinese ~ Russian"
"Select Language","*English,Deutsch,Espanol,Italiano,Francais,Japanese,Portugues,Dansk,Svenska,Nederlands,Norsk,Suomi,Simplified Chinese,Traditional Chinese,Russian","English ~ Deutsch ~ Espanol ~ Italiano ~ Francais ~ Japanese ~ Portugues ~ Dansk ~ Svenska ~ Nederlands ~ Norsk ~ Suomi ~ Simplified Chinese ~ Traditional Chinese ~ Russian"
"Single NIC Operation (Disable All Other NICs when HBMA is active on one NIC)","*Disable,Enable","Disable ~ Enable"
"Special Keys mapped to Fn + keypress","Disable,*Enable","Disable ~ Enable"
"Startup Delay (sec.)","*0,5,10,15,20,25,30,35,40,45,50,55,60","0 ~ 5 ~ 10 ~ 15 ~ 20 ~ 25 ~ 30 ~ 35 ~ 40 ~ 45 ~ 50 ~ 55 ~ 60"
"Sunday","*Disable,Enable","Disable ~ Enable"
"Sure Start BIOS Settings Protection","*Disable,Enable","Disable ~ Enable"
"Sure Start Secure Boot Keys Protection","*Disable,Enable","Disable ~ Enable"
"Sure Start Security Event Boot Notification","Time out after 15 seconds,*Require Acknowledgment","Time out after 15 seconds ~ Require Acknowledgment"
"Sure Start Security Event Policy","Log Event Only,*Log Event and notify user,Log Event and power off system","Log Event Only ~ Log Event and notify user ~ Log Event and power off system"
"SureStart Production Mode","Disable,*Enable","Disable ~ Enable"
"Swap Fn and Ctrl (Keys)","*Disable,Enable","Disable ~ Enable"
"System Management Command","Disable,*Enable","Disable ~ Enable"
"Thunderbolt Mode","Disable,*Enable","Disable ~ Enable"
"Thunderbolt Security Level","*PCIe and DisplayPort - User Authorization,PCIe and DisplayPort - Secure Connect,DisplayPort and USB,Daisy Chaining Disabled","PCIe and DisplayPort - User Authorization ~ PCIe and DisplayPort - Secure Connect ~ DisplayPort and USB ~ Daisy Chaining Disabled"
"Thunderbolt Type-C Ports","Disable,*Enable","Disable ~ Enable"
"Thursday","*Disable,Enable","Disable ~ Enable"
"TPM Activation Policy","F1 to Boot,*Allow user to reject,No prompts","F1 to Boot ~ Allow user to reject ~ No prompts"
"TPM Device","Hidden,*Available","Hidden ~ Available"
"TPM State","*Disable,Enable","Disable ~ Enable"
